Sample,Lake
SRR7309272,Paxton
SRR7309273,Paxton
SRR7309274,Paxton
SRR7309275,Paxton
SRR7309276,Paxton
SRR7309277,Paxton
SRR7309278,Paxton
SRR7309279,Paxton
SRR7309280,Priest
SRR7309281,Priest
SRR7309282,Priest
SRR7309283,Priest
SRR7309284,Priest
SRR7309285,Priest
SRR7309286,Priest
SRR7309287,Priest
SRR7309288,Little Quarry
SRR7309289,Little Quarry
SRR7309290,Little Quarry
SRR7309291,Little Quarry
SRR7309292,Little Quarry
SRR7309293,Little Quarry
SRR7309294,Little Quarry
SRR7309295,Little Quarry
SRR7309296,Paxton
SRR7309297,Paxton
SRR7309298,Paxton
SRR7309299,Paxton
SRR7309300,Paxton
SRR7309301,Paxton
SRR7309302,Paxton
SRR7309303,Paxton
SRR7309304,Priest
SRR7309305,Priest
SRR7309306,Priest
SRR7309307,Priest
SRR7309308,Priest
SRR7309309,Priest
SRR7309310,Priest
SRR7309311,Priest
SRR7309312,Little Quarry
SRR7309313,Little Quarry
SRR7309314,Little Quarry
SRR7309315,Little Quarry
SRR7309316,Little Quarry
SRR7309317,Little Quarry
SRR7309318,Little Quarry
SRR7309319,Little Quarry
SRR7309320,Little Quarry

